File Name	First Author	Publication Year	Study Title	Study Description
00000_1-s2.0-S1096719217300525-main.txt	Deborah A Bilder	2017	Neuropsychiatric comorbidities in adults with phenylketonuria: A retrospective cohort study	The purpose of the current study is to investigate the prevalence and prevalence ratios (PR) of neuropsychiatric disorders in a large, popula- tion-based sample of adults with PKU.
00001_10.1177_0033354919864363.txt	Madeleine M Baker-Goering	2019	Association Between Self-Reported Hypertension and Antihypertensive Medication Use and Cardiovascular Disease-Related Events and Expenditures Among Patients Diagnosed With Hypertension	We examined whether patients whose insurance claims included an International Classification of Diseases, Ninth Revision (ICD-9) code associated with hypertension who self-reported high blood pressure were more likely to fill antihypertensive medication prescriptions and less likely to have CVD-related emergency department visits and hospitalizations (hereinafter, CVD-related events) and related medical expenditures than patients with these codes who did not self-report high blood pressure
00002_10.1177_1176935117712520.txt	Sherif M El-Refai 	2017	Immune Checkpoint Inhibition and the Prevalence of Autoimmune Disorders Among Patients With Lung and Renal Cancer	We sought to identify, among patients with lung and renal cancer, how many harbor a comorbid autoimmune condition and may be at risk of worsening their condition while on immune checkpoint inhibitors such as nivolumab and pembrolizumab.
00003_10.1177_1745506520965898.txt	Stephanie J Estes	2020	The impact of high-risk and chronic opioid use among commercially insured endometriosis patients on health care resource utilization and costs in the United States	Evaluate all-cause and endometriosis-related health care resource utilization and costs among newly diagnosed endometriosis patients with high-risk versus low-risk opioid use or patients with chronic versus non-chronic opioid use.
00004_10.1177_1941738118803616.txt	Mackenzie M Herzog	2018	Trends in Incidence of ACL Reconstruction and Concomitant Procedures Among Commercially Insured Individuals in the United States, 2002-2014	The primary aim of this study was to describe the clinical epidemiology of ACL reconstruction and concomitant procedures among commercially insured individuals in the United States. We quantified trends in the annual incidence rates of ACL reconstruction from 2002 to 2014 overall and by a variety of factors, including concomitant procedures, age, and sex.
00005_10.1177_2040620719839025.txt	Xue Song	2019	Cost of peripheral neuropathy in patients receiving treatment for multiple myeloma: a US administrative claims analysis	The purpose of this study was to use real-world data to examine the healthcare resource utilization and costs associated with PN in patients being treated for MM, comparing those diagnosed with PN to a matched control cohort without PN.
00006_10.1177_2192568219890573.txt	Michael P Catalino	2019	Gender Disparities in Surgical Treatment of Axis Fractures in Older Adults	We hypothesized that females would receive surgery less often than males, but males would have a higher 1-year mortality following isolated traumatic axis fractures.
00007_10.1177_2325967117712476.txt	Nicholas A Bonazza	2017	Trends in Surgical Management of Shoulder Instability	Our purpose was to assess the practice trends for shoulder stabilization surgery with regard to the type of procedure performed and any trends related to patient age or sex during a more recent time period, without concerns for observer effect, or Hawthorne effect,31 as potentially can be seen during a boards collection window; we also wanted to access a larger volume of patients (compared with the PearlDiver database) by utilizing the MarketScan Commercial Claims and Encounters Database. Our secondary purpose was to evaluate the incidence and specifics of revision stabilization after previous primary stabilization, not done in previous big data studies on this subject.
00008_10067_2017_Article_3636.txt	Sergio Schwartzman	2017	Economic impact of biologic utilization patterns in patients with psoriatic arthritis	The aim of the study is to examine the frequency and costs associated with above-label dosing of biologics in patients with psoriatic arthritis (PsA)
00009_10120_2015_Article_486.txt	Lisa M Hess	2015	Chemotherapy treatment patterns, costs, and outcomes of patients with gastric cancer in the United States: a retrospective analysis of electronic medical record (EMR) and administrative claims data	The primary objective of this descriptive study was to explore chemotherapy treatment patterns, healthcare resource utilization, costs, and outcomes for patients in the U.S. diagnosed with gastric cancer in an electronic medical record and administrative database, respectively.
